Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,222.257,27.809,365,58,217,214,1.316,3.229,106036,4185551.907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,223.506,29.401,401,87,217,214,1.863,5.384,81106,3201491.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,220.271,36.267,390,8,214,214,0.558,4.275,100177,3954279.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,221.392,28.063,350,60,216,214,1.340,3.222,79541,3139716.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,228.611,35.169,363,82,216,214,1.535,1.949,80114,3162334.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,222.274,32.643,418,14,215,214,1.664,6.056,98101,3872334.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,218.544,27.640,366,66,213,214,1.269,3.050,77711,3067481.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,228.923,30.017,359,6,223,217,0.881,3.208,83964,3314305.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,217.020,30.638,380,18,213,214,0.391,2.867,73031,2882747.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,214.299,31.237,362,7,212,214,-0.030,4.152,72036,2843472.190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,232.107,36.680,386,12,231,229,0.095,2.206,66702,2632923.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,216.090,24.644,332,51,212,214,1.133,3.530,63691,2514070.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,217.000,1.000,218,216,218,216,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
